id	pair	genre	model	title	target_hangul	hangul	ratio	attempts	cost_usd	duration_ms	generated_at
ai-wiki-01	wiki-01	wiki	claude-opus-5	예술	870	591	0.68	2	0.1284	76551	2026-09-15T19:35:48+00:00
ai-wiki-02	wiki-02	wiki	claude-sonnet-5	예일 대학교	2900	1300	0.45	2	0.0646	47851	2026-09-15T19:36:38+00:00
ai-wiki-03	wiki-03	wiki	claude-opus-5	쳉 콩 센터	1200	843	0.70	2	0.1176	93697	2026-09-15T19:38:16+00:00
ai-wiki-04	wiki-04	wiki	claude-sonnet-5	김질 (1422년)	4870	1550	0.32	2	0.1249	136591	2026-09-15T19:40:36+00:00
ai-personal-01	personal-01	personal	claude-opus-5	모바일 UI 디자인 기본용어 - 컨트롤	2370	1341	0.57	2	0.2903	180470	2026-09-15T19:40:56+00:00
ai-wiki-05	wiki-05	wiki	claude-opus-5	윤새	840	169	0.20	2	0.0383	27298	2026-09-15T19:41:06+00:00
ai-wiki-06	wiki-06	wiki	claude-sonnet-5	이제 개국공신교서	1230	583	0.47	2	0.0592	65594	2026-09-15T19:42:15+00:00
ai-personal-02	personal-02	personal	claude-sonnet-5	대기업의 복지혜택 <삼성 편>	4660	1943	0.42	2	0.0916	83983	2026-09-15T19:42:23+00:00
ai-personal-03	personal-03	personal	claude-opus-5	[Java 6편] 절차지향적, 객체지향적 설계	810	669	0.83	1	0.0343	24462	2026-09-15T19:42:48+00:00
ai-wiki-07	wiki-07	wiki	claude-opus-5	맨드리바 리눅스	1130	720	0.64	2	0.0943	65024	2026-09-15T19:43:22+00:00
ai-personal-04	personal-04	personal	claude-sonnet-5	💻 유용한 생산성 툴 몇가지 소개	2070	964	0.47	2	0.0384	39018	2026-09-15T19:43:31+00:00
ai-wiki-08	wiki-08	wiki	claude-sonnet-5	국제법	6100	3071	0.50	2	0.0957	90991	2026-09-15T19:44:56+00:00
ai-personal-05	personal-05	personal	claude-opus-5	5일만에 뚝딱 스크립트 언어 만들기 PGLight (1/5)	1540	816	0.53	2	0.1751	113176	2026-09-15T19:45:27+00:00
ai-personal-06	personal-06	personal	claude-sonnet-5	2021-02-17 #오늘의영감 <토스증권>	2040	1097	0.54	2	0.0442	40489	2026-09-15T19:46:10+00:00
ai-wiki-09	wiki-09	wiki	claude-opus-5	유치원	1180	851	0.72	2	0.1000	76855	2026-09-15T19:46:16+00:00
ai-personal-07	personal-07	personal	claude-opus-5	윈도우에 Jupyter를 설치하는 쉬운 방법	850	486	0.57	2	0.1016	59806	2026-09-15T19:47:13+00:00
ai-wiki-10	wiki-10	wiki	claude-sonnet-5	파이널 판타지 XIV	3840	1480	0.39	2	0.0569	56104	2026-09-15T19:47:15+00:00
ai-personal-08	personal-08	personal	claude-sonnet-5	[독후감] 시인 동주	1090	848	0.78	2	0.0339	37155	2026-09-15T19:47:53+00:00
ai-personal-09	personal-09	personal	claude-opus-5	Travis CI, AWS CodeDeploy, Docker 로 배포 자동화 및 무중단 배포 환경 구축하기 - (1)	3170	1425	0.45	2	0.2299	139061	2026-09-15T19:50:15+00:00
ai-personal-10	personal-10	personal	claude-sonnet-5	라디오 버튼 UX 설계 10원칙	3270	1369	0.42	2	0.0512	44428	2026-09-15T19:51:02+00:00
ai-tech-01	tech-01	tech	claude-opus-5	이미지 최적화를 위한 WebP 포맷 적용 이야기	1920	1194	0.62	2	0.2387	135297	2026-09-15T19:53:20+00:00
ai-tech-02	tech-02	tech	claude-sonnet-5	구글 I/O 2017 참관 후기	1990	1161	0.58	2	0.0515	47926	2026-09-15T19:54:12+00:00
ai-tech-03	tech-03	tech	claude-opus-5	실전 Amazon S3와 CloudFront로 정적 파일 배포하기	3540	2380	0.67	2	0.2998	188666	2026-09-15T19:57:23+00:00
ai-tech-04	tech-04	tech	claude-sonnet-5	새 소식 – AWS OpsWorks for Puppet Enterprise 지원	1160	696	0.60	2	0.0312	23746	2026-09-15T19:57:50+00:00
ai-tech-05	tech-05	tech	claude-opus-5	MAB 알고리즘을 이용하여 효율적으로 정렬하기	3190	2175	0.68	2	0.5680	312015	2026-09-15T20:03:04+00:00
ai-tech-06	tech-06	tech	claude-sonnet-5	늘어나는 개발 프로젝트, 빌드환경 모니터링을 어떻게 할까?	2900	1493	0.51	2	0.0654	64711	2026-09-15T20:04:12+00:00
ai-tech-07	tech-07	tech	claude-opus-5	Libplanet 팀이 2022년 1월 스프린트서울에도 참여합니다!	1070	705	0.66	2	0.1613	94159	2026-09-15T20:05:50+00:00
ai-tech-08	tech-08	tech	claude-sonnet-5	세상을 늦게 보기 위해 잃었던 것들	1220	775	0.64	2	0.0718	63333	2026-09-15T20:06:56+00:00
ai-tech-09	tech-09	tech	claude-opus-5	리덕스 사가(Redux Saga)란 무엇인가?	6530	4359	0.67	2	0.5137	324421	2026-09-15T20:12:24+00:00
ai-tech-10	tech-10	tech	claude-sonnet-5	백오피스 엑셀 다운로드 속도 개선하기	2300	1301	0.57	2	0.0649	64331	2026-09-15T20:13:31+00:00
