id	genre	author	title	raw_title	url	date	date_evidence	hangul	fetched_at
wiki-01	wiki	위키백과 편집자	예술	예술	https://ko.wikipedia.org/w/index.php?oldid=33596521	2022-11-03T22:25:41Z	위키백과 판 저장 시각(API)	868	2026-09-15T19:15:07+00:00
wiki-02	wiki	위키백과 편집자	예일 대학교	예일 대학교	https://ko.wikipedia.org/w/index.php?oldid=33718873	2022-11-28T19:39:51Z	위키백과 판 저장 시각(API)	2901	2026-09-15T19:15:11+00:00
wiki-03	wiki	위키백과 편집자	쳉 콩 센터	쳉 콩 센터	https://ko.wikipedia.org/w/index.php?oldid=33393298	2022-10-02T09:52:07Z	위키백과 판 저장 시각(API)	1197	2026-09-15T19:16:34+00:00
wiki-04	wiki	위키백과 편집자	김질 (1422년)	김질 (1422년)	https://ko.wikipedia.org/w/index.php?oldid=33403784	2022-10-03T12:50:08Z	위키백과 판 저장 시각(API)	4872	2026-09-15T19:16:42+00:00
wiki-05	wiki	위키백과 편집자	윤새	윤새	https://ko.wikipedia.org/w/index.php?oldid=33394502	2022-10-02T14:17:54Z	위키백과 판 저장 시각(API)	838	2026-09-15T19:17:08+00:00
wiki-06	wiki	위키백과 편집자	이제 개국공신교서	이제 개국공신교서	https://ko.wikipedia.org/w/index.php?oldid=31495247	2022-02-04T09:18:31Z	위키백과 판 저장 시각(API)	1229	2026-09-15T19:17:24+00:00
wiki-07	wiki	위키백과 편집자	맨드리바 리눅스	맨드리바 리눅스	https://ko.wikipedia.org/w/index.php?oldid=32781580	2022-06-08T07:54:36Z	위키백과 판 저장 시각(API)	1133	2026-09-15T19:17:34+00:00
wiki-08	wiki	위키백과 편집자	국제법	국제법	https://ko.wikipedia.org/w/index.php?oldid=33666930	2022-11-18T15:27:21Z	위키백과 판 저장 시각(API)	6104	2026-09-15T19:17:53+00:00
wiki-09	wiki	위키백과 편집자	유치원	유치원	https://ko.wikipedia.org/w/index.php?oldid=33652893	2022-11-15T09:57:54Z	위키백과 판 저장 시각(API)	1182	2026-09-15T19:18:14+00:00
wiki-10	wiki	위키백과 편집자	파이널 판타지 XIV	파이널 판타지 XIV	https://ko.wikipedia.org/w/index.php?oldid=32946850	2022-07-04T23:08:10Z	위키백과 판 저장 시각(API)	3844	2026-09-15T19:18:31+00:00
personal-01	personal	최철호	모바일 UI 디자인 기본용어 - 컨트롤	모바일 UI 디자인 기본용어 - 컨트롤	https://brunch.co.kr/@chulhochoiucj0/16	2022-09-28T07:48:31Z	Common Crawl CC-MAIN-2022-40 수집 시각; 페이지 추출 날짜 2017-04-22	2372	2026-09-15T19:21:56+00:00
personal-02	personal	김태강	대기업의 복지혜택 <삼성 편>	대기업의 복지혜택 <삼성 편>	https://brunch.co.kr/@taekangk/66	2022-08-18T08:34:12Z	Common Crawl CC-MAIN-2022-33 수집 시각; 페이지 추출 날짜 2019-03-16	4656	2026-09-15T19:22:17+00:00
personal-03	personal	이준균	[Java 6편] 절차지향적, 객체지향적 설계	[Java 6편] 절차지향적, 객체지향적 설계	https://insanelysimple.tistory.com/391	2022-08-10T16:21:33Z	Common Crawl CC-MAIN-2022-33 수집 시각; 페이지 추출 날짜 2022-08-05	812	2026-09-15T19:22:35+00:00
personal-04	personal	양성민	💻 유용한 생산성 툴 몇가지 소개	💻 유용한 생산성 툴 몇가지 소개	https://velog.io/@chris/introducing-useful-productivity-tools	2022-08-19T19:55:12Z	Common Crawl CC-MAIN-2022-33 수집 시각; 페이지 추출 날짜 2018-11-10	2067	2026-09-15T19:23:20+00:00
personal-05	personal	이민철	5일만에 뚝딱 스크립트 언어 만들기 PGLight (1/5)	5일만에 뚝딱 스크립트 언어 만들기 PGLight (1/5)	https://bab2min.tistory.com/326	2022-09-25T12:19:49Z	Common Crawl CC-MAIN-2022-40 수집 시각; 페이지 추출 날짜 2013-06-14	1542	2026-09-15T19:24:47+00:00
personal-06	personal	오혜진	2021-02-17 #오늘의영감 <토스증권>	2021-02-17 #오늘의영감 <토스증권>	https://zinee-world.tistory.com/579	2022-05-29T02:01:58Z	Common Crawl CC-MAIN-2022-21 수집 시각; 페이지 추출 날짜 2021-02-17	2039	2026-09-15T19:25:06+00:00
tech-01	tech	레진	이미지 최적화를 위한 WebP 포맷 적용 이야기	이미지 최적화를 위한 WebP 포맷 적용 이야기	https://tech.lezhin.com/2020/02/16/webp-resizing	2022-05-20T11:41:06Z	Common Crawl CC-MAIN-2022-21 수집 시각; 페이지 추출 날짜 2020-02-16	1925	2026-09-15T19:31:03+00:00
tech-02	tech	레진	구글 I/O 2017 참관 후기	구글 I/O 2017 참관 후기	https://tech.lezhin.com/2017/06/09/googleio	2022-05-20T10:30:01Z	Common Crawl CC-MAIN-2022-21 수집 시각; 페이지 추출 날짜 2017-06-09	1993	2026-09-15T19:31:04+00:00
tech-03	tech	Amazon Web Services	실전 Amazon S3와 CloudFront로 정적 파일 배포하기	실전 Amazon S3와 CloudFront로 정적 파일 배포하기 | Amazon Web Services	https://aws.amazon.com/ko/blogs/korea/amazon-s3-amazon-cloudfront-a-match-made-in-the-cloud/	2022-10-06T03:01:12Z	Common Crawl CC-MAIN-2022-40 수집 시각; 페이지 추출 날짜 2018-08-23	3539	2026-09-15T19:31:08+00:00
tech-04	tech	Amazon Web Services	새 소식 – AWS OpsWorks for Puppet Enterprise 지원	새 소식 – AWS OpsWorks for Puppet Enterprise 지원 | Amazon Web Services	https://aws.amazon.com/ko/blogs/korea/new-aws-opsworks-for-puppet-enterprise/	2022-10-01T06:30:17Z	Common Crawl CC-MAIN-2022-40 수집 시각; 페이지 추출 날짜 2017-11-21	1162	2026-09-15T19:31:10+00:00
tech-05	tech	무신사	MAB 알고리즘을 이용하여 효율적으로 정렬하기	MAB 알고리즘을 이용하여 효율적으로 정렬하기	https://medium.com/musinsa-tech/mab-211d14d2090b	2022-08-20T00:27:47Z	Common Crawl CC-MAIN-2022-33 수집 시각; 페이지 추출 날짜 2021-08-06	3193	2026-09-15T19:31:25+00:00
