id	pair	genre	model	title	target_hangul	hangul	ratio	attempts	cost_usd	duration_ms	generated_at
ai-personal-01	personal-01	personal	claude-opus-5	[ EBS 최수진의 모닝스페셜 ] 오디오어학당HUB - 조주연의 뉘앙스 22편(2021.08. 01방송분)	920	605	0.66	1	0.0919	52515	2026-09-15T20:35:36+00:00
ai-personal-02	personal-02	personal	claude-sonnet-5	토스 UX writer 인터뷰	830	567	0.68	1	0.0347	15033	2026-09-15T20:35:52+00:00
ai-personal-03	personal-03	personal	claude-opus-5	[아임포트] 일반 결제 API 연동	910	490	0.54	1	0.0395	22371	2026-09-15T20:36:16+00:00
ai-personal-04	personal-04	personal	claude-sonnet-5	마윈의 Data Technology	1480	880	0.59	1	0.0187	18321	2026-09-15T20:36:36+00:00
ai-personal-05	personal-05	personal	claude-opus-5	두숟갈 스터디를 마치며	3270	2266	0.69	1	0.1322	115799	2026-09-15T20:38:33+00:00
ai-personal-06	personal-06	personal	claude-sonnet-5	안드로이드(android) 특정한 시간에 푸시(푸쉬-notification)가 날라오도록 해보자!	880	478	0.54	1	0.0136	8925	2026-09-15T20:38:43+00:00
ai-personal-07	personal-07	personal	claude-opus-5	[서평] 프로그래머를 위한 베이지안 with 파이썬	810	576	0.71	1	0.0615	39758	2026-09-15T20:39:24+00:00
ai-personal-08	personal-08	personal	claude-sonnet-5	[후기] 위코드 1차 프로젝트	2240	1187	0.53	1	0.0228	20716	2026-09-15T20:39:46+00:00
ai-tech-06	tech-06	tech	claude-sonnet-5	월간기술동향 | '언택트'가 대세다!	1260	860	0.68	1	0.0386	15106	2026-09-15T20:41:54+00:00
ai-tech-01	tech-01	tech	claude-opus-5	[일생활균형 우수사례] 오픈소스컨설팅 특별상 수상!	2830	1877	0.66	1	0.1736	96657	2026-09-15T20:42:19+00:00
ai-tech-02	tech-02	tech	claude-sonnet-5	오픈소스컨설팅이 10살이 되었어요. Our Culture	1430	897	0.63	1	0.0392	15698	2026-09-15T20:42:36+00:00
ai-personal-09	personal-09	personal	claude-opus-5	Product/UX Designer의 성장 과정	5960	3707	0.62	1	0.3232	216626	2026-09-15T20:43:24+00:00
ai-tech-03	tech-03	tech	claude-opus-5	온디맨드 영상 변환 시스템 구축기	1750	1097	0.63	1	0.1204	64687	2026-09-15T20:43:42+00:00
ai-personal-10	personal-10	personal	claude-sonnet-5	GIL, Java에는 없던데?	1350	842	0.62	1	0.0195	20757	2026-09-15T20:43:46+00:00
ai-wiki-01	wiki-01	wiki	claude-opus-5	위 (성씨)	1000	747	0.75	1	0.0650	50841	2026-09-15T20:44:39+00:00
ai-wiki-02	wiki-02	wiki	claude-sonnet-5	마리아 크리스티나 디 보르보네두에시칠리에 왕녀	850	553	0.65	1	0.0131	9893	2026-09-15T20:44:50+00:00
ai-tech-05	tech-05	tech	claude-opus-5	웹 성능 최적화 SSR + Cache 적용기	2280	1357	0.60	1	0.1239	72353	2026-09-15T20:45:01+00:00
ai-wiki-03	wiki-03	wiki	claude-opus-5	숲 속의 전설 무시킹	900	689	0.77	1	0.0549	41897	2026-09-15T20:45:33+00:00
ai-wiki-04	wiki-04	wiki	claude-sonnet-5	웬디고	1100	719	0.65	1	0.0155	18231	2026-09-15T20:45:52+00:00
ai-tech-07	tech-07	tech	claude-opus-5	아티스트 talk! Talk! 열여섯번째 주인공, 지식연계팀 박유선 사원	1630	1009	0.62	1	0.0924	56216	2026-09-15T20:45:58+00:00
ai-tech-08	tech-08	tech	claude-sonnet-5	OpsNow 개발자들의 제주 한달 살기 생활기	1060	674	0.64	1	0.0151	14554	2026-09-15T20:46:14+00:00
ai-wiki-05	wiki-05	wiki	claude-opus-5	공차 (기업)	1820	1000	0.55	1	0.1116	70462	2026-09-15T20:47:04+00:00
ai-tech-09	tech-09	tech	claude-opus-5	AWS 트래픽 로그와 비용 분석	1000	684	0.68	1	0.1021	53480	2026-09-15T20:47:09+00:00
ai-wiki-06	wiki-06	wiki	claude-sonnet-5	동맹 90/녹색당	4100	1621	0.40	1	0.0293	37692	2026-09-15T20:47:43+00:00
ai-wiki-07	wiki-07	wiki	claude-opus-5	대침체	980	657	0.67	1	0.0676	38358	2026-09-15T20:48:22+00:00
ai-wiki-08	wiki-08	wiki	claude-sonnet-5	전조선 제정당사회단체 대표자 연석회의	10860	4717	0.43	1	0.0908	95904	2026-09-15T20:50:00+00:00
ai-wiki-09	wiki-09	wiki	claude-opus-5	다함께 차차차 (비디오 게임)	1280	920	0.72	1	0.0788	53256	2026-09-15T20:50:54+00:00
ai-wiki-10	wiki-10	wiki	claude-sonnet-5	흐로닝언	1290	630	0.49	1	0.0143	11068	2026-09-15T20:51:07+00:00
ai-tech-04	tech-04	tech	claude-sonnet-5	지라 버전을 자동으로 릴리스해볼까요?	2070	1228	0.59	1	0.0446	20151	2026-09-15T20:51:42+00:00
ai-tech-10	tech-10	tech	claude-sonnet-5	타다 클라이언트 개발기	4400	2060	0.47	1	0.0385	34560	2026-09-15T20:52:18+00:00
