id	genre	author	title	raw_title	url	date	date_evidence	hangul	fetched_at
wiki-01	wiki	위키백과 편집자	위 (성씨)	위 (성씨)	https://ko.wikipedia.org/w/index.php?oldid=32212695	2022-03-14T04:25:16Z	위키백과 판 저장 시각(API)	997	2026-09-15T20:26:39+00:00
wiki-02	wiki	위키백과 편집자	마리아 크리스티나 디 보르보네두에시칠리에 왕녀	마리아 크리스티나 디 보르보네두에시칠리에 왕녀	https://ko.wikipedia.org/w/index.php?oldid=31737912	2022-02-18T00:06:10Z	위키백과 판 저장 시각(API)	848	2026-09-15T20:27:25+00:00
personal-01	personal	이광헌	[ EBS 최수진의 모닝스페셜 ] 오디오어학당HUB - 조주연의 뉘앙스 22편(2021.08. 01방송분)	[ EBS 최수진의 모닝스페셜 ] 오디오어학당HUB - 조주연의 뉘앙스 22편(2021.08. 01방송분)	https://honeyperl.tistory.com/906	2022-10-01T03:03:21Z	Common Crawl CC-MAIN-2022-40 수집 시각; 페이지 추출 날짜 2021-08-07	925	2026-09-15T20:27:30+00:00
personal-02	personal	김강령	토스 UX writer 인터뷰	토스 UX writer 인터뷰	https://brunch.co.kr/@thinkaboutlove/380	2022-10-01T08:32:22Z	Common Crawl CC-MAIN-2022-40 수집 시각; 페이지 추출 날짜 2021-03-21	831	2026-09-15T20:28:20+00:00
personal-03	personal	원동호	[아임포트] 일반 결제 API 연동	[아임포트] 일반 결제 API 연동	https://wondongho.tistory.com/189	2022-08-15T22:00:13Z	Common Crawl CC-MAIN-2022-33 수집 시각; 페이지 추출 날짜 2021-03-18	910	2026-09-15T20:28:29+00:00
personal-04	personal	유재석	마윈의 Data Technology	마윈의 Data Technology	https://brunch.co.kr/@yoojs8512/4	2022-08-18T08:24:07Z	Common Crawl CC-MAIN-2022-33 수집 시각; 페이지 추출 날짜 2015-08-11	1476	2026-09-15T20:28:39+00:00
wiki-03	wiki	위키백과 편집자	숲 속의 전설 무시킹	숲 속의 전설 무시킹	https://ko.wikipedia.org/w/index.php?oldid=32459805	2022-04-13T09:35:51Z	위키백과 판 저장 시각(API)	900	2026-09-15T20:28:45+00:00
personal-05	personal	이호성	두숟갈 스터디를 마치며	두숟갈 스터디를 마치며	https://brunch.co.kr/@leehosung/42	2022-10-02T22:37:06Z	Common Crawl CC-MAIN-2022-40 수집 시각; 페이지 추출 날짜 2017-12-10	3271	2026-09-15T20:29:14+00:00
wiki-04	wiki	위키백과 편집자	웬디고	웬디고	https://ko.wikipedia.org/w/index.php?oldid=33343135	2022-09-22T09:24:52Z	위키백과 판 저장 시각(API)	1101	2026-09-15T20:29:14+00:00
wiki-05	wiki	위키백과 편집자	공차 (기업)	공차 (기업)	https://ko.wikipedia.org/w/index.php?oldid=33443986	2022-10-10T11:30:33Z	위키백과 판 저장 시각(API)	1816	2026-09-15T20:29:46+00:00
